extId,Country,District,Ward,Village,Hamlet
MEF,Mozambique,Mopeia,Sambalendo,Chimuara,Mefula
MIN,Mozambique,Mopeia,Sambalendo,Chimuara,Minjale
NHC,Mozambique,Mopeia,Sambalendo,Chimuara,Nhacatundo
NHZ,Mozambique,Mopeia,Sambalendo,Chimuara,Nhamizinga
NOE,Mozambique,Mopeia,Sambalendo,Chimuara,Noere
QUE,Mozambique,Mopeia,Sambalendo,Chimuara,Quembo
SAN,Mozambique,Mopeia,Sambalendo,Chimuara,Sambalendo
SA ,Mozambique,Mopeia,Sambalendo,Chimuara,Samora Machel
SAT,Mozambique,Mopeia,Sambalendo,Chimuara,Sangate
SAU,Mozambique,Mopeia,Sambalendo,Chimuara,Sassune
SOA,Mozambique,Mopeia,Sambalendo,Chimuara,Soares
SOM,Mozambique,Mopeia,Sambalendo,Chimuara,Somopo
TAI,Mozambique,Mopeia,Sambalendo,Chimuara,Taibo
VAL,Mozambique,Mopeia,Sambalendo,Chimuara,Valeta
JAN,Mozambique,Mopeia,Sambalendo,Nzanza,Janeiro
NHE,Mozambique,Mopeia,Sambalendo,Nzanza,Nhamirere
AHJ,Mozambique,Mopeia,Sambalendo,Nzanza,Nhanga
NZN,Mozambique,Mopeia,Sambalendo,Nzanza,Nzanza Sede
25T,Mozambique,Mopeia,Sambalendo,Nzero,25 de Setembro
AGO,Mozambique,Mopeia,Sambalendo,Nzero,Agostinho Neto
FKV,Mozambique,Mopeia,Sambalendo,Nzero,Chitucotuco
CIE,Mozambique,Mopeia,Sambalendo,Nzero,Cimento
EDA,Mozambique,Mopeia,Sambalendo,Nzero,Eduardo Mondlane
GUL,Mozambique,Mopeia,Sambalendo,Nzero,Gulamo
LIL,Mozambique,Mopeia,Sambalendo,Nzero,Liberdade
NAO,Mozambique,Mopeia,Sambalendo,Nzero,Namigonhane
NAV,Mozambique,Mopeia,Sambalendo,Nzero,Navena
NCO,Mozambique,Mopeia,Sambalendo,Nzero,Ncomati
NHU,Mozambique,Mopeia,Sambalendo,Nzero,Nhamingulo
NHP,Mozambique,Mopeia,Sambalendo,Nzero,Nhamipama
NSU,Mozambique,Mopeia,Sambalendo,Nzero,Nsussa
